family,group,variant,mean_episode_reward,failure_rate,episodes,seeds
A2C,base,A2C/base,0.5443605474280321,0.4556394525719679,4238,3
A2C,sbase(mlp),A2C/sbase(mlp),0.9954053167049557,0.004594683295044306,3047,3
A2C,sbase(oracle),A2C/sbase(oracle),0.9957432874918141,0.004256712508185986,3054,3
DQN,base,DQN/base,0.4633408919123205,0.5366591080876795,1323,3
DQN,sbase(mlp),DQN/sbase(mlp),0.5781733746130031,0.4218266253869969,1292,3
DQN,sbase(oracle),DQN/sbase(oracle),0.5781733746130031,0.4218266253869969,1292,3
DoubleDQN,base,DoubleDQN/base,0.09232313095835425,0.9076768690416458,1993,3
DoubleDQN,sbase(mlp),DoubleDQN/sbase(mlp),0.6975806451612904,0.3024193548387097,1736,3
DoubleDQN,sbase(oracle),DoubleDQN/sbase(oracle),0.7026086956521739,0.29739130434782607,1725,3
PPO,base,PPO/base,0.5780660377358491,0.4219339622641509,4240,3
PPO,sbase(mlp),PPO/sbase(mlp),0.9978123480797277,0.0021876519202722413,4114,3
PPO,sbase(oracle),PPO/sbase(oracle),0.9983091787439613,0.0016908212560386474,4140,3
Rainbow,base,Rainbow/base,0.09232313095835425,0.9076768690416458,1993,3
Rainbow,sbase(mlp),Rainbow/sbase(mlp),0.6975806451612904,0.3024193548387097,1736,3
Rainbow,sbase(oracle),Rainbow/sbase(oracle),0.7026086956521739,0.29739130434782607,1725,3
TRPO,base,TRPO/base,0.8154332129963899,0.18456678700361012,4432,3
TRPO,sbase(mlp),TRPO/sbase(mlp),0.8763596004439511,0.12364039955604883,4505,3
TRPO,sbase(oracle),TRPO/sbase(oracle),0.8765815760266371,0.12341842397336293,4505,3
